busstop_id,lat,lng
257,-3.716263,-38.56552
258,-3.715473,-38.565182
259,-3.714982,-38.564667
260,-3.714499,-38.56579
261,-3.714041,-38.567417
262,-3.716295,-38.560797
263,-3.715683,-38.562611
264,-3.715298,-38.563453
265,-3.716952,-38.558546
266,-3.716944,-38.55889
267,-3.716262,-38.560623
268,-3.715573,-38.560358
269,-3.715099,-38.560107
270,-3.712001,-38.555221
271,-3.711776,-38.5557
272,-3.71248,-38.553028
273,-3.712304,-38.553039
274,-3.712785,-38.550589
275,-3.711158,-38.550576
276,-3.710989,-38.550766
277,-3.713416,-38.549247
278,-3.71344,-38.549784
279,-3.712857,-38.548198
280,-3.711779,-38.548927
281,-3.717709,-38.556299
282,-3.716893,-38.546608
283,-3.714279,-38.546758
284,-3.714117,-38.5471
285,-3.781969,-38.555943
286,-3.782222,-38.555866
287,-3.783288,-38.554457
288,-3.786443,-38.554805
289,-3.784931,-38.553552
290,-3.782487,-38.55337
291,-3.781952,-38.552313
292,-3.785753,-38.551124
293,-3.785869,-38.551528
294,-3.786483,-38.549772
295,-3.786337,-38.547709
296,-3.784477,-38.546872
297,-3.783695,-38.546923
300,-3.787839,-38.547578
301,-3.787658,-38.54758
302,-3.789174,-38.548402
303,-3.789008,-38.548568
306,-3.783667,-38.546028
307,-3.784026,-38.544966
308,-3.784094,-38.544505
309,-3.784787,-38.543707
310,-3.784918,-38.543828
311,-3.78614,-38.543311
312,-3.786188,-38.542916
313,-3.786109,-38.539341
314,-3.7862,-38.538606
315,-3.786032,-38.538467
316,-3.784924,-38.538186
317,-3.784546,-38.537976
318,-3.783753,-38.53843
319,-3.783607,-38.538466
320,-3.782491,-38.53797
321,-3.782341,-38.538005
322,-3.782547,-38.537378
323,-3.782699,-38.537347
324,-3.787692,-38.539008
325,-3.787943,-38.53918
326,-3.788886,-38.537204
327,-3.788988,-38.537162
328,-3.789311,-38.535911
329,-3.786967,-38.540397
330,-3.787106,-38.540236
331,-3.786312,-38.539334
332,-3.790227,-38.540543
333,-3.790795,-38.540889
334,-3.790894,-38.541006
335,-3.790674,-38.539681
336,-3.789785,-38.542374
337,-3.789752,-38.541872
338,-3.788587,-38.545186
339,-3.788912,-38.544779
340,-3.784972,-38.527409
341,-3.784929,-38.527191
342,-3.785179,-38.525791
343,-3.785349,-38.525313
344,-3.786465,-38.528438
345,-3.786571,-38.528549
346,-3.788444,-38.528991
347,-3.788623,-38.528805
348,-3.789337,-38.526638
349,-3.789242,-38.526651
350,-3.788559,-38.525528
351,-3.788299,-38.525391
352,-3.786677,-38.526015
353,-3.785478,-38.524132
355,-3.78581,-38.522241
356,-3.786001,-38.521642
